,Well_Name,Header,Sub_Header,Barcode,File Name,Desc
0,RAJAMANDALA-169,Report,Report,WR00069981,WR00069981.PDF,BIOSTRATIGRAPHY OF THE INT 2190 M-3470 M T.D
1,RAJAMANDALA-169,Report,Report,WR00069973,WR00069973.PDF,"MICRO-SEISMOGRAM LOG-CASED HOLE, RUN 1 (1:200)"
2,RAJAMANDALA-169,Report,Report,WR01525064,WR01525064.pdf,PETROLEUM GEOCHEMISTRY SCREENINGS STUDY OF UNWASHED CUTTINGS AND SIDEWALL CORE SAMPLES
3,RAJAMANDALA-169,Report,Report,WR00069975,WR00069975.PDF,"GEOPHYSICAL SITE SURVEYAT THESEMAI V-A BOX 3ARAFURA SEA,INDONESIA"
