,Well_Name,Header,Sub_Header,Barcode,File Name,Desc
0,RAJAMANDALA-14,Report,Report,WR01341428,WR01341428.pdf,PALYNOSTRATIGRAPHY OF THE INTERVAL 3693.5M TO 3809.5M FEBRUARY 2010
1,RAJAMANDALA-14,Report,Report,WR01341436,WR01341436.pdf,WELL SEISMIC SERVICES VERTICAL SEISMIC PROFILE AND SYNTHETIC SEISMOGRAM PROCESSING
2,RAJAMANDALA-14,Report,Report,WR01341427,WR01341427.pdf,PETROLEUM GEOCHEMISTRY SCREENING [ROCKS] CHARACTERISATION STUDY MARCH 2009
3,RAJAMANDALA-14,Report,Report,WR00925505,WR00925505.pdf,WELLSITE GEOLOGY AND MUDLOGGING STANDARDS AND PROCEDURES
4,RAJAMANDALA-14,Report,Report,WR01341429,WR01341429.pdf,"PETROGRAPHIC AND X-RAY DIFFRACTION [XRD] ANALYSES OF MSCT SAMPLES FROM WELL, INTERVAL 3711.5-3809.5mWL"
