,Well_Name,Header,Sub_Header,Barcode,File Name,Desc
0,RAJAMANDALA-12,Report,Report,WR01321104,WR01321104.pdf,PALYNOSTRATIGRAPHY OF THE INTERVAL 3786M TO 3819.8M
1,RAJAMANDALA-12,Report,Report,WR01321297,WR01321297.pdf,WELL SEISMIC SERVICES SHEAR VELOCITY FROM ZERO OFFSET VSP PROVISIONAL REPORT
2,RAJAMANDALA-12,Report,Report,WR01321102,WR01321102.pdf,ROUTINE CORE ANALYSIS
3,RAJAMANDALA-12,Report,Report,WR01321253,WR01321253.PDF,PETROLEUM GEOCHEMICAL SCREENING AND OIL/GAS CHARACTERISATION STUDY
4,RAJAMANDALA-12,Report,Report,WR00925500,WR00925500.pdf,GEOLOGICAL FINAL WELL REPORT
5,RAJAMANDALA-12,Report,Report,WR01321257,WR01321257.PDF,"CORE DESCRIPTION, PETROGRAPHIC, SCANNING ELECTRON MICROSCOPY (SEM) AND X-RAY DIFFRACTION (XRD) ANALYSES OF CORE AND SIDEWALL CORE SAMPLES FROM THE ABADI-2 WELL, INTERVAL 2330.0M-3813M, AND X-RAY DIFFRACTION (XRD) ANALYSIS OF CUTTINGS SAMPLES FROM TH"
