,Well_Name,Header,Sub_Header,Barcode,File Name,Desc
0,RAJAMANDALA-144,Report,Report,WR00138299,WR00138299.PDF,BIOSTRATIGRAPHY AND PALEOENVIRONMENTS OF THE INTERVAL
1,RAJAMANDALA-144,Report,Report,WR00140762,WR00140762.PDF,"MICRO-SEISMOGRAM LOG-CASE HOLE, RUN 1-2 (1:200)"
2,RAJAMANDALA-144,Report,Report,WR00429775,WR00429775.PDF,A PETROLEUM GEOCHEMICAL EVALUATION OF THE INTERVAL 5000 TO  7160 FEET OF THE PETROMER TREND CORPORATION LOC
3,RAJAMANDALA-144,Report,Report,WR00140756,WR00140756.PDF,PRELIMINARY GEOLOGICAL PROGNOSIS
